customer_id,order_purchase_timestamp,recency_days,frequency,monetary_value,R_score,F_score,M_score,RFM_score,customer_segment,avg_order_value,CLV
00012a2ce6f8dcda20d059ce98491703,14-11-2017 16:08,287,1,114.74,2,1,3,213,At Risk,114.74,27436.78536
000161a058600d5901f007fab4c27140,16-07-2017 09:40,409,1,67.41,1,1,2,112,At Risk,67.41,16119.17118
0001fd6190edaaf884bcaf3d49edf079,28-02-2017 11:06,547,1,195.42,1,1,4,114,At Risk,195.42,46729.09704
0002414f95344307404f0ace7a26f1d5,16-08-2017 13:09,378,1,179.35,2,1,4,214,At Risk,179.35,42886.41672
000379cdec625522490c315e70c7a9fb,02-04-2018 13:42,149,1,107.01,4,1,3,413,Potential Customers,107.01,25588.37721
0004164d20a9e969af783496f3408652,12-04-2017 08:35,504,1,71.8,1,1,2,112,At Risk,71.8,17168.91397
000419c5494106c306a97b5635748086,02-03-2018 17:47,179,1,49.4,4,1,1,411,Potential Customers,49.4,11812.5954
00046a560d407e99b969756e0b10f282,18-12-2017 11:08,254,1,166.59,3,1,4,314,Others,166.59,39835.2281
00050bf6e01e69d5c0fd612f1bcfb69c,17-09-2017 16:04,345,1,85.23,2,1,2,212,At Risk,85.23,20380.31389
000598caf2ef4117407665ac33275130,11-08-2018 12:14,18,1,1255.71,5,1,5,515,Champions,1255.71,300267.0886
0005aefbb696d34b3424dccd0a0e9fd0,20-06-2018 09:46,70,1,147.33,5,1,4,514,Champions,147.33,35229.75063
00062b33cb9f6fe976afdcff967ea74d,15-03-2017 23:44,531,1,58.95,1,1,2,112,At Risk,58.95,14096.20443
00066ccbe787a588c52bd5ff404590e3,06-02-2018 16:10,203,1,270,3,1,5,315,Others,270,64562.7684
00072d033fe2e59061ae5c3aff1a2be5,01-09-2017 09:24,362,1,106.97,2,1,3,213,At Risk,106.97,25578.81236
0009a69b72033b2d0ec8c69fc70ef768,28-04-2017 13:36,488,1,173.6,1,1,4,114,At Risk,173.6,41511.46887
000bf8121c3412d3057d32371c5d3395,11-10-2017 07:44,322,1,45.56,2,1,1,211,At Risk,45.56,10894.36936
000e943451fc2788ca6ac98a682f2f49,20-04-2017 19:37,495,1,106.23,1,1,3,113,At Risk,106.23,25401.86255
000f17e290c26b28549908a04cfe36c1,10-11-2017 16:37,291,1,139.52,2,1,4,214,At Risk,139.52,33362.21277
000fd45d6fedae68fc6676036610f879,15-04-2018 15:55,135,1,66.81,4,1,2,412,Potential Customers,66.81,15975.69836
0010068a73b7c56da5758c3f9e5c7375,11-04-2017 18:19,504,1,54.83,1,1,2,112,At Risk,54.83,13111.02441
001028b78fd413e19704b3867c369d3a,12-04-2018 12:51,139,1,37.61,4,1,1,411,Potential Customers,37.61,8993.354517
00104a47c29da701ce41ee52077587d9,14-01-2018 20:28,226,1,100.34,3,1,3,313,Others,100.34,23993.43771
001051abfcfdbed9f87b4266213a5df1,30-05-2018 09:19,91,1,65.2,5,1,2,512,Potential Customers,65.2,15590.71296
00114026c1b7b52ab1773f317ef4880b,01-06-2017 19:44,453,1,66.01,1,1,2,112,At Risk,66.01,15784.40127
001226b2341ef620415ce7bbafcfac28,29-09-2017 01:15,334,1,47.53,2,1,1,211,At Risk,47.53,11365.43845
0012a5c13793cf51e253f096a7e740dd,05-03-2018 14:54,177,1,369.92,4,1,5,415,Champions,369.92,88455.77514
0013280441d86a4f7a8006efdaf1b0fe,08-01-2018 02:35,233,1,162.15,3,1,4,314,Others,162.15,38773.52925
0013cd8e350a7cc76873441e431dd5ee,07-05-2018 23:25,113,1,92.6,4,1,3,413,Potential Customers,92.6,22142.63835
001450ebb4a77efb3d68be5f7887cb1e,26-02-2018 08:35,184,1,61.33,3,1,2,312,Others,61.33,14665.31328
00146ad30454993879adaa91c518f68c,08-01-2018 20:40,232,1,221.79,3,1,5,315,Others,221.79,53034.72742
00155f0530cc7b2bf73cc3f81cb01c52,14-05-2017 23:55,471,1,40.75,1,1,1,111,At Risk,40.75,9744.195602
0015bc9fd2d5395446143e8b215d7c75,11-06-2018 19:48,78,1,132.19,5,1,4,514,Champions,132.19,31609.45317
0015f7887e2fde13ddaa7b8e385af919,31-07-2017 11:05,394,1,186.74,1,1,4,114,At Risk,186.74,44653.5236
0017a0b4c1f1bdb9c395fa0ac517109c,03-03-2018 18:44,178,1,50.01,4,1,1,411,Potential Customers,50.01,11958.45944
